11936,TCP,52.94.240.174,443,10.0.10.242,34803
7968,TCP,52.114.159.53,443,10.0.10.200,61849
5207,TCP,34.192.170.188,443,10.0.10.16,38514
423,UDP,23.23.78.22,40317,10.0.10.112,55408
238,UDP,8.8.8.8,53,10.0.10.16,33055
160,UDP,8.8.8.8,53,10.0.10.200,51451
159,UDP,23.23.78.6,33434,10.0.10.242,44361
159,UDP,23.23.78.22,40317,10.0.10.112,45473
158,UDP,8.8.8.8,53,10.0.10.242,44921
158,UDP,8.8.8.8,53,10.0.10.242,38808
149,UDP,23.23.78.6,33434,10.0.10.242,38423
92,UDP,8.8.8.8,53,10.0.10.242,49602
1,UDP,141.207.137.233,4500,10.0.10.94,4500
